GUID 6c4051608ab64912af6c6bf135e18bf3

Type Spawn
ID 28304

Tables 24
Table_0_Asset_ID 27299
Table_0_Weight 10
Table_1_Asset_ID 253
Table_1_Weight 20
Table_2_Asset_ID 1194
Table_2_Weight 50
Table_3_Asset_ID 49102
Table_3_Weight 50
Table_4_Asset_ID 49104
Table_4_Weight 50
Table_5_Asset_ID 1171
Table_5_Weight 50
Table_6_Asset_ID 1172
Table_6_Weight 50
Table_7_Asset_ID 1169
Table_7_Weight 50
Table_8_Asset_ID 1170
Table_8_Weight 50
Table_9_Asset_ID 27930
Table_9_Weight 75
Table_10_Asset_ID 27932
Table_10_Weight 75
Table_11_Asset_ID 27936
Table_11_Weight 75
Table_12_Asset_ID 27935
Table_12_Weight 75
Table_13_Asset_ID 1183
Table_13_Weight 100
Table_14_Asset_ID 205
Table_14_Weight 100
Table_15_Asset_ID 245
Table_15_Weight 100
Table_16_Asset_ID 1014
Table_16_Weight 100
Table_17_Asset_ID 1240
Table_17_Weight 100
Table_18_Asset_ID 49107
Table_18_Weight 100
Table_19_Asset_ID 49109
Table_19_Weight 100
Table_20_Asset_ID 49113
Table_20_Weight 100
Table_21_Asset_ID 49111
Table_21_Weight 100
Table_22_Asset_ID 27838
Table_22_Weight 100
Table_23_Asset_ID 27740
Table_23_Weight 100
