GUID 9cb8300501cb44bbb8b20cd5f44a6781

Type Spawn
ID 28305

Tables 28
Table_0_Asset_ID 28087
Table_0_Weight 20
Table_1_Asset_ID 27299
Table_1_Weight 20
Table_2_Asset_ID 27354
Table_2_Weight 20
Table_3_Asset_ID 28088
Table_3_Weight 20
Table_4_Asset_ID 253
Table_4_Weight 40
Table_5_Asset_ID 28042
Table_5_Weight 50
Table_6_Asset_ID 49102
Table_6_Weight 50
Table_7_Asset_ID 49104
Table_7_Weight 50
Table_8_Asset_ID 1171
Table_8_Weight 50
Table_9_Asset_ID 1172
Table_9_Weight 50
Table_10_Asset_ID 1169
Table_10_Weight 50
Table_11_Asset_ID 1170
Table_11_Weight 50
Table_12_Asset_ID 1194
Table_12_Weight 60
Table_13_Asset_ID 27930
Table_13_Weight 75
Table_14_Asset_ID 27932
Table_14_Weight 75
Table_15_Asset_ID 27936
Table_15_Weight 75
Table_16_Asset_ID 27935
Table_16_Weight 75
Table_17_Asset_ID 1183
Table_17_Weight 100
Table_18_Asset_ID 205
Table_18_Weight 100
Table_19_Asset_ID 245
Table_19_Weight 10
Table_20_Asset_ID 1014
Table_20_Weight 100
Table_21_Asset_ID 1240
Table_21_Weight 100
Table_22_Asset_ID 49107
Table_22_Weight 100
Table_23_Asset_ID 49109
Table_23_Weight 100
Table_24_Asset_ID 49113
Table_24_Weight 100
Table_25_Asset_ID 49111
Table_25_Weight 100
Table_26_Asset_ID 27838
Table_26_Weight 100
Table_27_Asset_ID 27740
Table_27_Weight 100
