GUID dbeb4ddfa1ca4ef999a64398daaa50a9

Type Spawn
ID 28306

Tables 30
Table_0_Asset_ID 27280
Table_0_Weight 20
Table_1_Asset_ID 28099
Table_1_Weight 20
Table_2_Asset_ID 27299
Table_2_Weight 25
Table_3_Asset_ID 28042
Table_3_Weight 50
Table_4_Asset_ID 49102
Table_4_Weight 50
Table_5_Asset_ID 49104
Table_5_Weight 50
Table_6_Asset_ID 1171
Table_6_Weight 50
Table_7_Asset_ID 1172
Table_7_Weight 50
Table_8_Asset_ID 1169
Table_8_Weight 50
Table_9_Asset_ID 1170
Table_9_Weight 50
Table_10_Asset_ID 253
Table_10_Weight 75
Table_11_Asset_ID 1194
Table_11_Weight 75
Table_12_Asset_ID 1183
Table_12_Weight 100
Table_13_Asset_ID 205
Table_13_Weight 100
Table_14_Asset_ID 245
Table_14_Weight 100
Table_15_Asset_ID 1014
Table_15_Weight 100
Table_16_Asset_ID 1240
Table_16_Weight 100
Table_17_Asset_ID 49107
Table_17_Weight 100
Table_18_Asset_ID 49109
Table_18_Weight 100
Table_19_Asset_ID 49113
Table_19_Weight 100
Table_20_Asset_ID 49111
Table_20_Weight 100
Table_21_Asset_ID 27838
Table_21_Weight 100
Table_22_Asset_ID 27740
Table_22_Weight 100
Table_23_Asset_ID 297
Table_23_Weight 100
Table_24_Asset_ID 1143
Table_24_Weight 100
Table_25_Asset_ID 1436
Table_25_Weight 100
Table_26_Asset_ID 116
Table_26_Weight 100
Table_27_Asset_ID 300
Table_27_Weight 100
Table_28_Asset_ID 132
Table_28_Weight 100
Table_29_Asset_ID 1445
Table_29_Weight 100
